DSC,Model,Dataset
0.7708113193511963,KD SAM,Breast Ultrasound
0.6570091247558594,KD SAM,Breast Ultrasound
0.9064807891845703,KD SAM,Breast Ultrasound
0.782333493232727,KD SAM,Breast Ultrasound
0.8647466897964478,KD SAM,Breast Ultrasound
0.9105538129806519,KD SAM,Breast Ultrasound
0.7885183095932007,KD SAM,Breast Ultrasound
0.8485840559005737,KD SAM,Breast Ultrasound
0.8424350023269653,KD SAM,Breast Ultrasound
0.8919045329093933,KD SAM,Breast Ultrasound
0.8541423678398132,KD SAM,Breast Ultrasound
0.6966869831085205,KD SAM,Breast Ultrasound
0.71670001745224,KD SAM,Breast Ultrasound
0.9289107322692871,KD SAM,Breast Ultrasound
0.7606636881828308,KD SAM,Breast Ultrasound
0.8571550250053406,KD SAM,Breast Ultrasound
0.773949384689331,KD SAM,Breast Ultrasound
0.7969904541969299,KD SAM,Breast Ultrasound
0.9131690859794617,KD SAM,Breast Ultrasound
0.8970663547515869,KD SAM,Breast Ultrasound
0.8370696902275085,KD SAM,Breast Ultrasound
0.5175434947013855,KD SAM,Breast Ultrasound
0.8893436193466187,KD SAM,Breast Ultrasound
0.8642824292182922,KD SAM,Breast Ultrasound
0.6696714162826538,KD SAM,Breast Ultrasound
0.8219916224479675,KD SAM,Breast Ultrasound
0.930577278137207,KD SAM,Breast Ultrasound
0.8510676026344299,KD SAM,Breast Ultrasound
0.6411224007606506,KD SAM,Breast Ultrasound
0.8917158246040344,KD SAM,Breast Ultrasound
0.8904294967651367,KD SAM,Breast Ultrasound
0.9181064963340759,KD SAM,Breast Ultrasound
0.8001707792282104,KD SAM,Breast Ultrasound
0.6051469445228577,KD SAM,Breast Ultrasound
0.8570358753204346,KD SAM,Breast Ultrasound
0.8113139867782593,KD SAM,Breast Ultrasound
0.8870524764060974,KD SAM,Breast Ultrasound
0.7437790036201477,KD SAM,Breast Ultrasound
0.8616111278533936,KD SAM,Breast Ultrasound
0.8644679188728333,KD SAM,Breast Ultrasound
0.842008650302887,KD SAM,Breast Ultrasound
0.8093124628067017,KD SAM,Breast Ultrasound
0.8949745297431946,KD SAM,Breast Ultrasound
0.8881513476371765,KD SAM,Breast Ultrasound
0.8773746490478516,KD SAM,Breast Ultrasound
0.8548888564109802,KD SAM,Breast Ultrasound
0.7735527157783508,KD SAM,Breast Ultrasound
0.8364844918251038,KD SAM,Breast Ultrasound
0.7766241431236267,KD SAM,Breast Ultrasound
0.9122877717018127,KD SAM,Breast Ultrasound
