DSC,Model,Dataset
0.9416164755821228,Original SAM,Breast Ultrasound
0.8370980620384216,Original SAM,Breast Ultrasound
0.9475075602531433,Original SAM,Breast Ultrasound
0.8742139935493469,Original SAM,Breast Ultrasound
0.8969430327415466,Original SAM,Breast Ultrasound
0.9096188545227051,Original SAM,Breast Ultrasound
0.8960303664207458,Original SAM,Breast Ultrasound
0.8674678206443787,Original SAM,Breast Ultrasound
0.9257699251174927,Original SAM,Breast Ultrasound
0.9256330728530884,Original SAM,Breast Ultrasound
0.9016450643539429,Original SAM,Breast Ultrasound
0.8964357972145081,Original SAM,Breast Ultrasound
0.8899008631706238,Original SAM,Breast Ultrasound
0.9120326042175293,Original SAM,Breast Ultrasound
0.8544721007347107,Original SAM,Breast Ultrasound
0.9195500016212463,Original SAM,Breast Ultrasound
0.9268689155578613,Original SAM,Breast Ultrasound
0.930429995059967,Original SAM,Breast Ultrasound
0.9282366633415222,Original SAM,Breast Ultrasound
0.9314266443252563,Original SAM,Breast Ultrasound
0.9278466105461121,Original SAM,Breast Ultrasound
0.8500593304634094,Original SAM,Breast Ultrasound
0.9129768013954163,Original SAM,Breast Ultrasound
0.9324311017990112,Original SAM,Breast Ultrasound
0.8836016058921814,Original SAM,Breast Ultrasound
0.9159281849861145,Original SAM,Breast Ultrasound
0.9326015710830688,Original SAM,Breast Ultrasound
0.9080941081047058,Original SAM,Breast Ultrasound
0.8463683128356934,Original SAM,Breast Ultrasound
0.9381399750709534,Original SAM,Breast Ultrasound
0.8706225752830505,Original SAM,Breast Ultrasound
0.9382225871086121,Original SAM,Breast Ultrasound
0.8579599857330322,Original SAM,Breast Ultrasound
0.8329041004180908,Original SAM,Breast Ultrasound
0.8728312253952026,Original SAM,Breast Ultrasound
0.8542518615722656,Original SAM,Breast Ultrasound
0.9115321636199951,Original SAM,Breast Ultrasound
0.905407190322876,Original SAM,Breast Ultrasound
0.9511827826499939,Original SAM,Breast Ultrasound
0.8674494624137878,Original SAM,Breast Ultrasound
0.9501149654388428,Original SAM,Breast Ultrasound
0.8619359135627747,Original SAM,Breast Ultrasound
0.9309903383255005,Original SAM,Breast Ultrasound
0.9202508926391602,Original SAM,Breast Ultrasound
0.8954230546951294,Original SAM,Breast Ultrasound
0.9129443764686584,Original SAM,Breast Ultrasound
0.9607495069503784,Original SAM,Breast Ultrasound
0.9018856883049011,Original SAM,Breast Ultrasound
0.9509603381156921,Original SAM,Breast Ultrasound
0.9449734687805176,Original SAM,Breast Ultrasound
