DSC,Model,Dataset
0.5619702339172363,UNet,Breast Ultrasound
0.716517448425293,UNet,Breast Ultrasound
0.683578372001648,UNet,Breast Ultrasound
0.6136308908462524,UNet,Breast Ultrasound
0.2957497239112854,UNet,Breast Ultrasound
0.9234108328819275,UNet,Breast Ultrasound
0.2736189365386963,UNet,Breast Ultrasound
0.5119194984436035,UNet,Breast Ultrasound
0.8539673089981079,UNet,Breast Ultrasound
0.8868494629859924,UNet,Breast Ultrasound
0.847115695476532,UNet,Breast Ultrasound
0.5110524296760559,UNet,Breast Ultrasound
0.891456663608551,UNet,Breast Ultrasound
0.8225903511047363,UNet,Breast Ultrasound
0.43389737606048584,UNet,Breast Ultrasound
0.5890286564826965,UNet,Breast Ultrasound
0.8524190783500671,UNet,Breast Ultrasound
0.7835023403167725,UNet,Breast Ultrasound
0.8945406675338745,UNet,Breast Ultrasound
0.4143604040145874,UNet,Breast Ultrasound
0.575212299823761,UNet,Breast Ultrasound
0.2883099913597107,UNet,Breast Ultrasound
0.8468271493911743,UNet,Breast Ultrasound
0.43884801864624023,UNet,Breast Ultrasound
0.40369856357574463,UNet,Breast Ultrasound
0.0008558034896850586,UNet,Breast Ultrasound
0.8091654777526855,UNet,Breast Ultrasound
0.8720546364784241,UNet,Breast Ultrasound
0.3093418478965759,UNet,Breast Ultrasound
0.6710402965545654,UNet,Breast Ultrasound
0.34665441513061523,UNet,Breast Ultrasound
0.3625277280807495,UNet,Breast Ultrasound
0.6242291927337646,UNet,Breast Ultrasound
0.6340597867965698,UNet,Breast Ultrasound
0.8456370234489441,UNet,Breast Ultrasound
0.5402758717536926,UNet,Breast Ultrasound
0.5264006853103638,UNet,Breast Ultrasound
0.7097089290618896,UNet,Breast Ultrasound
0.7185155153274536,UNet,Breast Ultrasound
0.7416764497756958,UNet,Breast Ultrasound
0.47029876708984375,UNet,Breast Ultrasound
0.7569469809532166,UNet,Breast Ultrasound
0.5734290480613708,UNet,Breast Ultrasound
0.821796715259552,UNet,Breast Ultrasound
0.6568048596382141,UNet,Breast Ultrasound
0.5493910312652588,UNet,Breast Ultrasound
0.6735159158706665,UNet,Breast Ultrasound
0.6093631386756897,UNet,Breast Ultrasound
0.9202401638031006,UNet,Breast Ultrasound
0.757432758808136,UNet,Breast Ultrasound
