DSC,Model,Dataset
0.0251015424728393,DeepLabV3+,Breast Ultrasound
0.6663975715637207,DeepLabV3+,Breast Ultrasound
0.952813446521759,DeepLabV3+,Breast Ultrasound
0.7546584606170654,DeepLabV3+,Breast Ultrasound
0.7558602094650269,DeepLabV3+,Breast Ultrasound
0.9664353728294371,DeepLabV3+,Breast Ultrasound
0.7744670510292053,DeepLabV3+,Breast Ultrasound
0.7598298788070679,DeepLabV3+,Breast Ultrasound
0.8369362950325012,DeepLabV3+,Breast Ultrasound
0.8806453347206116,DeepLabV3+,Breast Ultrasound
0.9268665909767152,DeepLabV3+,Breast Ultrasound
0.4627499580383301,DeepLabV3+,Breast Ultrasound
0.925908386707306,DeepLabV3+,Breast Ultrasound
0.5948254466056824,DeepLabV3+,Breast Ultrasound
0.7697398662567139,DeepLabV3+,Breast Ultrasound
0.8762553930282593,DeepLabV3+,Breast Ultrasound
0.9165763854980468,DeepLabV3+,Breast Ultrasound
0.6237831115722656,DeepLabV3+,Breast Ultrasound
0.9640519022941588,DeepLabV3+,Breast Ultrasound
0.8803300857543945,DeepLabV3+,Breast Ultrasound
0.8698511719703674,DeepLabV3+,Breast Ultrasound
0.1880252957344055,DeepLabV3+,Breast Ultrasound
0.928741216659546,DeepLabV3+,Breast Ultrasound
0.8713168501853943,DeepLabV3+,Breast Ultrasound
0.7563307285308838,DeepLabV3+,Breast Ultrasound
0.2248115539550781,DeepLabV3+,Breast Ultrasound
0.9588390588760376,DeepLabV3+,Breast Ultrasound
0.929883360862732,DeepLabV3+,Breast Ultrasound
0.8128585815429688,DeepLabV3+,Breast Ultrasound
0.8305162191390991,DeepLabV3+,Breast Ultrasound
0.8216033577919006,DeepLabV3+,Breast Ultrasound
0.9135546684265136,DeepLabV3+,Breast Ultrasound
0.8882756233215332,DeepLabV3+,Breast Ultrasound
0.0037229657173156,DeepLabV3+,Breast Ultrasound
0.9100504517555236,DeepLabV3+,Breast Ultrasound
0.8080539703369141,DeepLabV3+,Breast Ultrasound
0.7846674919128418,DeepLabV3+,Breast Ultrasound
0.7732149958610535,DeepLabV3+,Breast Ultrasound
0.8909198045730591,DeepLabV3+,Breast Ultrasound
0.8319158554077148,DeepLabV3+,Breast Ultrasound
0.8579040765762329,DeepLabV3+,Breast Ultrasound
0.8118960857391357,DeepLabV3+,Breast Ultrasound
0.8710516095161438,DeepLabV3+,Breast Ultrasound
0.9629884958267212,DeepLabV3+,Breast Ultrasound
0.88858562707901,DeepLabV3+,Breast Ultrasound
0.8903964161872864,DeepLabV3+,Breast Ultrasound
0.925399661064148,DeepLabV3+,Breast Ultrasound
0.7797718644142151,DeepLabV3+,Breast Ultrasound
0.8552305102348328,DeepLabV3+,Breast Ultrasound
0.9675517678260804,DeepLabV3+,Breast Ultrasound
0.9772543907165528,DeepLabV3+,Fetal Head
0.9768619537353516,DeepLabV3+,Fetal Head
0.9624934196472168,DeepLabV3+,Fetal Head
0.9801092743873596,DeepLabV3+,Fetal Head
0.9760890603065492,DeepLabV3+,Fetal Head
0.9851040840148926,DeepLabV3+,Fetal Head
0.9713741540908812,DeepLabV3+,Fetal Head
0.9857326149940492,DeepLabV3+,Fetal Head
0.9820703864097596,DeepLabV3+,Fetal Head
0.9804861545562744,DeepLabV3+,Fetal Head
0.9886919856071472,DeepLabV3+,Fetal Head
0.9708224534988404,DeepLabV3+,Fetal Head
0.9684840440750122,DeepLabV3+,Fetal Head
0.9761983752250672,DeepLabV3+,Fetal Head
0.9775432348251344,DeepLabV3+,Fetal Head
0.9743890762329102,DeepLabV3+,Fetal Head
0.9679220914840698,DeepLabV3+,Fetal Head
0.9769120812416076,DeepLabV3+,Fetal Head
0.9783260822296144,DeepLabV3+,Fetal Head
0.9776099920272828,DeepLabV3+,Fetal Head
0.9741969108581544,DeepLabV3+,Fetal Head
0.9757912755012512,DeepLabV3+,Fetal Head
0.9820364713668824,DeepLabV3+,Fetal Head
0.9819145798683168,DeepLabV3+,Fetal Head
0.9660412669181824,DeepLabV3+,Fetal Head
0.9862160086631776,DeepLabV3+,Fetal Head
0.9770466089248656,DeepLabV3+,Fetal Head
0.9867449402809144,DeepLabV3+,Fetal Head
0.9672061800956726,DeepLabV3+,Fetal Head
0.973745048046112,DeepLabV3+,Fetal Head
0.89112788438797,DeepLabV3+,Fetal Head
0.9611932635307312,DeepLabV3+,Fetal Head
0.9821434020996094,DeepLabV3+,Fetal Head
0.9682044386863708,DeepLabV3+,Fetal Head
0.979332685470581,DeepLabV3+,Fetal Head
0.9771036505699158,DeepLabV3+,Fetal Head
0.9811153411865234,DeepLabV3+,Fetal Head
0.9821591973304749,DeepLabV3+,Fetal Head
0.9804044365882874,DeepLabV3+,Fetal Head
0.977684497833252,DeepLabV3+,Fetal Head
0.9798535704612732,DeepLabV3+,Fetal Head
0.976725697517395,DeepLabV3+,Fetal Head
0.9722718596458436,DeepLabV3+,Fetal Head
0.9821836948394777,DeepLabV3+,Fetal Head
0.9861133694648744,DeepLabV3+,Fetal Head
0.9882007837295532,DeepLabV3+,Fetal Head
0.98692125082016,DeepLabV3+,Fetal Head
0.9855051040649414,DeepLabV3+,Fetal Head
0.9771949052810668,DeepLabV3+,Fetal Head
0.9758526086807252,DeepLabV3+,Fetal Head
0.9771194458007812,DeepLabV3+,Fetal Head
0.981962502002716,DeepLabV3+,Fetal Head
0.983517050743103,DeepLabV3+,Fetal Head
0.9736600518226624,DeepLabV3+,Fetal Head
0.9756174087524414,DeepLabV3+,Fetal Head
0.9705389142036438,DeepLabV3+,Fetal Head
0.9843196868896484,DeepLabV3+,Fetal Head
0.9741562604904176,DeepLabV3+,Fetal Head
0.9730358719825744,DeepLabV3+,Fetal Head
0.961875855922699,DeepLabV3+,Fetal Head
0.9653122425079346,DeepLabV3+,Fetal Head
0.977433443069458,DeepLabV3+,Fetal Head
0.9675217866897584,DeepLabV3+,Fetal Head
0.9717435836791992,DeepLabV3+,Fetal Head
0.965732991695404,DeepLabV3+,Fetal Head
0.9715025424957277,DeepLabV3+,Fetal Head
0.9521915912628174,DeepLabV3+,Fetal Head
0.972960352897644,DeepLabV3+,Fetal Head
0.9783074855804444,DeepLabV3+,Fetal Head
0.964788556098938,DeepLabV3+,Fetal Head
0.9684301018714904,DeepLabV3+,Fetal Head
0.9644117951393129,DeepLabV3+,Fetal Head
0.9792022109031676,DeepLabV3+,Fetal Head
0.9710917472839355,DeepLabV3+,Fetal Head
0.9709925651550292,DeepLabV3+,Fetal Head
0.9656165838241576,DeepLabV3+,Fetal Head
0.9831342101097108,DeepLabV3+,Fetal Head
0.9734259247779846,DeepLabV3+,Fetal Head
0.9685001373291016,DeepLabV3+,Fetal Head
0.9661999344825744,DeepLabV3+,Fetal Head
0.9787644743919371,DeepLabV3+,Fetal Head
0.9760334491729736,DeepLabV3+,Fetal Head
0.9825935363769532,DeepLabV3+,Fetal Head
0.9620961546897888,DeepLabV3+,Fetal Head
0.9758771061897278,DeepLabV3+,Fetal Head
0.9649860858917236,DeepLabV3+,Fetal Head
